id,gid,x,y,dir_x,dir_y,radius,time
8,0,70.292465,-181.335953,0.126468,0.096612,2.000000,42.750000
9,0,170.605637,-109.198318,0.345824,0.291456,2.000000,42.750000
0,0,208.390701,9.191114,0.277547,0.139741,2.000000,43.000000
1,0,170.379257,125.500023,0.262987,0.034314,2.000000,43.000000
2,0,70.318459,198.374863,0.035602,0.258612,2.000000,43.000000
3,0,-52.746284,198.870865,0.337227,0.126207,2.000000,43.000000
4,0,-152.621887,126.063667,0.094701,0.271489,2.000000,43.000000
5,0,-190.488800,8.962621,0.200937,0.395754,2.000000,43.000000
6,0,-153.324234,-108.862083,0.290442,0.286481,2.000000,43.000000
7,0,-53.158051,-181.155502,0.164085,0.027327,2.000000,43.000000
8,0,70.342140,-181.333817,0.198687,0.008539,2.000000,43.000000
9,0,170.621994,-109.117508,0.065451,0.323257,2.000000,43.000000
0,0,208.460358,9.218726,0.278635,0.110448,2.000000,43.250000
1,0,170.409180,125.527977,0.119661,0.111823,2.000000,43.250000
2,0,70.377579,198.405365,0.236470,0.122024,2.000000,43.250000
3,0,-52.733715,198.900879,0.050274,0.120042,2.000000,43.250000
4,0,-152.524567,126.097755,0.389294,0.136356,2.000000,43.250000
5,0,-190.427216,9.034843,0.246357,0.288892,2.000000,43.250000
6,0,-153.309082,-108.833427,0.060611,0.114614,2.000000,43.250000
7,0,-53.103825,-181.078720,0.216903,0.307120,2.000000,43.250000
8,0,70.354919,-181.260239,0.051125,0.294288,2.000000,43.250000
9,0,170.666794,-109.052872,0.179228,0.258559,2.000000,43.250000
0,0,208.475266,9.236029,0.059657,0.069211,2.000000,43.500000
1,0,170.493942,125.549072,0.339062,0.084392,2.000000,43.500000
2,0,70.471146,198.439133,0.374281,0.135078,2.000000,43.500000
3,0,-52.682365,198.943970,0.205402,0.172386,2.000000,43.500000
4,0,-152.476151,126.123253,0.193679,0.101991,2.000000,43.500000
5,0,-190.406479,9.077177,0.082931,0.169334,2.000000,43.500000
6,0,-153.219482,-108.739723,0.358378,0.374813,2.000000,43.500000
7,0,-53.052628,-181.032425,0.204783,0.185211,2.000000,43.500000
8,0,70.407906,-181.179718,0.211946,0.322062,2.000000,43.500000
9,0,170.763336,-109.027985,0.386142,0.099559,2.000000,43.500000
